,image_id,question_id,question_type,question,answers,multiple_choice_answer,answer_type_x,pid,output,answer_similarity,correct_x,model,condition,meta_model,﻿question_num,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,answer_original,answer_raw,answer_normalized,gt_answers,visual_gt,answer_type_y,correct_y,mean_answer_similarity,mean_answer_similarity_blind,mean_answer_similarity_inst blind,mean_correct,mean_correct_blind,mean_correct_inst blind,MG,inst_acc,human_correct,model_correct,new_question_type,cc_quadrant
0,COCO_val2014_000000356421.jpg,356421011,what is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is the boy's skateboard balancing on? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'air', 'answer_confidence': 'no', 'answer_id': 1}, {'answer': 'nothing', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'nothing', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'thin air', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'nothing', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'nothing', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'in air', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'nothing', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'air', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'air', 'answer_confidence': 'yes', 'answer_id': 10}]",nothing,other,2.0,ground,30.0,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,other,0.0,34.05,40.53,34.089999999999996,20.0,20.0,10.0,10.0,-10.0,1.0,1.0,Attribute/Object,Shared Correct
1,COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5.0,no,73.4,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,yes/no,80.0,100.0,73.4,74.77000000000001,100.0,0.0,10.0,90.0,10.0,1.0,1.0,Yes/No,Shared Correct
2,COCO_val2014_000000537701.jpg,537701022,does this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Does this man's tie match the background? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,7.0,No,100.0,100.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,yes/no,68.325,97.34,86.7,89.36,93.33,66.65,73.32000000000001,20.01,6.67,1.0,1.0,Yes/No,Shared Correct
3,COCO_val2014_000000135486.jpg,135486006,what are,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What are they carrying? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'kite', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'kite', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'kite', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'kites', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'kite', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'kites', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'kite', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'kites', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'kite', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'kites', 'answer_confidence': 'yes', 'answer_id': 10}]",kite,other,12.0,car,24.7,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,other,0.0,100.0,25.11,25.73,100.0,0.0,0.0,100.0,0.0,1.0,0.0,Attribute/Object,Human-Only
4,COCO_val2014_000000305329.jpg,305329002,what color is,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What color is his helmet? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'gray and yellow', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'black and gold', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'brown', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'blue,yellow', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'black and yellow', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'black, yellow', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'brown and yellow', 'answer_confidence': 'yes', 'answer_id': 10}]",black,other,13.0,black,100.0,100.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,other,40.0,92.65,95.17999999999999,94.72,79.99,80.0,80.0,-0.010000000000000852,0.0,1.0,1.0,Attribute/Object,Shared Correct
5,COCO_val2014_000000367468.jpg,367468003,is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is the cat picking out shoes to wear? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,15.0,No,100.0,100.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,yes/no,76.66,100.0,97.34,100.0,100.0,93.33,100.0,0.0,6.67,1.0,1.0,Yes/No,Shared Correct
6,COCO_val2014_000000469857.jpg,469857006,what,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What on the bed? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'blankets', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'backpack', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'blanket', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'bed sheets and pillow', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'comforter', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'pillows', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blankets', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blanket, sheets, and pillows', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'covers', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'comforter', 'answer_confidence': 'yes', 'answer_id': 10}]",comforter,other,20.0,blank,20.3,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,other,9.995,58.19,35.489999999999995,41.239999999999995,10.0,6.659999999999999,6.659999999999999,3.3400000000000007,0.0,1.0,1.0,Attribute/Object,Shared Correct
7,COCO_val2014_000000156397.jpg,156397004,how many,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: How many animals are in the picture? Answer the question using a single word or phrase. 
Answer:","[{'answer': '20', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '30', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'many', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '30', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': '30', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': '25', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': '26', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': '32', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': '26', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': '50', 'answer_confidence': 'yes', 'answer_id': 10}]",30,number,21.0,one,43.8,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,number,0.0,70.49,48.28,46.97,46.64,0.0,0.0,46.64,0.0,1.0,0.0,Number,Human-Only
8,COCO_val2014_000000052161.jpg,52161010,what type of,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What type of shoes is this person wearing? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'brown', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'boots', 'answer_confidence': 'yes', 'answer_id': 10}]",boots,other,22.0,Sneakers,60.5,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,other,10.0,90.16,57.410000000000004,53.17999999999999,60.0,10.0,0.0,60.0,-10.0,1.0,0.0,Attribute/Object,Human-Only
9,COCO_val2014_000000517386.jpg,517386001,what is in the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is in the vase? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 10}]",flowers,other,23.0,water,36.4,0.0,InternVL 3.5 (1B),inst blind,open-source model,,,,,,,,,,,,other,10.0,77.36,67.12,83.67999999999999,30.0,30.0,60.0,-30.0,30.0,1.0,1.0,Attribute/Object,Shared Correct
