,hqid,qid,category,l2_category,question,answer,correct,Timestamp,subj,Score,question_hm,answer_hm
0,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,True,2025-11-04 16:37:21.079,Winnie,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B
1,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,True,2025-11-04 16:55:47.964,JJH,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B
2,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,True,2025-11-04 17:09:00.783,Lee,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B
3,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,False,2025-11-04 17:16:55.232,성민석,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",A
4,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,True,2025-11-04 18:35:45.170,EJ,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B
5,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,False,2025-11-04 19:47:12.130,배재형,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",C
6,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,False,2025-11-05 00:48:32.876,박지윤,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",A
7,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,True,2025-11-05 01:48:20.004,박호조,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B
8,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,True,2025-11-10 18:47:19.220,J,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B
9,0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,False,2025-11-11 15:27:53.412, KDY,0,"Where is the woman's blue bag located in the image?
 Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",A
