question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
523,220266001,yes,0.75,3.03,2025-11-24T14:15:01.480118,0756a860_20251124_133827,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.75,3.34,2025-12-10T23:52:32.712665,02f952bb_20251210_230336,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.75,3.43,2025-12-02T10:59:37.245174,29127478_20251202_100107,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,1.0,1.37,2025-11-26T09:19:19.492427,218b2db5_20251126_084136,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.75,3.05,2025-12-09T17:29:09.405320,9c5d09f3_20251209_121033,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,Yes,0.25,2.31,2025-11-26T15:42:26.567596,3238ebaf_20251126_140604,Is the cat happy?,yes/no,,Yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,1.0,2.55,2025-12-05T23:48:53.099395,3a36e078_20251205_225238,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.75,2.37,2025-11-27T15:10:28.973903,5d843d39_20251127_141921,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.75,3.12,2025-12-11T01:11:01.686670,60de6bd6_20251210_170035,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.25,3.48,2025-11-25T15:00:09.965412,6b3a1a8d_20251125_135446,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,yes,0.75,3.61,2025-12-04T22:10:47.415553,73df43f3_20251204_210431,Is the cat happy?,yes/no,네,yes,yes,100.0,0.8298312187194824,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,yes
523,220266001,no,0.25,3.42,2025-12-13T14:48:02.932402,74d408e5_20251213_134035,Is the cat happy?,yes/no,아니요,no,no,100.0,0.8818956255912781,"['no', 'yes', 'yes', 'yes,', 'no', 'no', 'yes', 'no', 'no', 'no']",no,Humans,humans,inst blind,is the,Yes/No,no
